iteration,loss,ppo_target,entropy,mean_reward,docking,drug_likeliness,prior_prob_diff,time_elapsed
1,0.03517275536237973,-0.035166388678253065,0.5151320541331332,22.938141034367156,-6.567207298530145,3.236473077793996,6.94228690166337e-08,0.9496382411983278
2,0.027450664938340707,-0.02744420002871921,0.508490508956974,23.00571650471792,-6.5597075138678775,3.2473201355802463,0.01255605393965324,1.8682206123405032
3,0.03388003438910656,-0.03387335885703422,0.5083937212661073,23.133074257837006,-6.616970618034432,3.282162403733662,0.020241418991195304,2.816761801375283
4,0.028088308683707236,-0.028082205005075085,0.4995076205831823,23.147364694198735,-6.62804259634889,3.263236905152081,0.030287706323037764,3.7345806912581128
5,0.028917081185369387,-0.028910341121737373,0.49432610548151434,23.402539724040256,-6.707618080243771,3.2794807627422813,0.03858136424151655,4.708181120620834
6,0.027996907703235426,-0.027989515880969023,0.48457752260695675,23.568488681196712,-6.768354430379757,3.2633966520817492,0.046531646170737614,5.69280303577582
7,0.028884404048261623,-0.028877057443256453,0.4832122530863391,23.711571192874185,-6.794478216818634,3.3281365424182634,0.05786357662983786,6.624869292842018
8,0.0302236378016314,-0.03021564383319339,0.4795544314559068,23.96034542322268,-6.878278481012668,3.325509980184696,0.06719526584386942,7.603594850434197
9,0.025885197482310173,-0.025876663712529377,0.4665455291174469,24.002019498811894,-6.895945261023824,3.3141837157404375,0.07881488646658098,8.588194535308414
10,0.028479536724980166,-0.028470270468728937,0.4608855540123208,24.23852223875878,-6.969574036511145,3.3297378820034305,0.08629846377929128,9.589048050774469
11,0.026271349406156726,-0.026261456236731928,0.46019985632142557,24.35999693164223,-7.007470974255427,3.3218343874726077,0.09523070829972799,10.55308288998074
12,0.026248530249330687,-0.026238396949824078,0.45517164086684203,24.49124512947084,-7.047402924861314,3.3414720583664486,0.10323149254294842,11.503124867611461
13,0.02467252054465546,-0.02466188707508422,0.4452801005962567,24.47115421654802,-7.0304040404040435,3.3349339416558434,0.11148909188445108,12.455814135405753
14,0.02512224277519964,-0.02511084550450661,0.443232457698146,24.738454864789123,-7.119465456379227,3.316064547088673,0.1207449037143908,13.441802869637808
15,0.02797371786301125,-0.02796107309712973,0.4381304968748105,24.815117769291607,-7.154137235116041,3.3202627555616613,0.12717587852048776,14.452694146765603
16,0.02618019448236812,-0.026166781031056956,0.42638371972476735,25.103834361366502,-7.261842105263145,3.3183080455770346,0.13941502261616637,15.485473271807034
17,0.024238637075553668,-0.024224595551790996,0.41832845371216537,25.19956934369914,-7.268156424581009,3.3411640618301752,0.1479529137753462,16.500978226794135
18,0.025215473286248225,-0.025199406247188604,0.4152968256822518,25.436525364210176,-7.362632911392391,3.3109557439570163,0.1614244433161662,17.705279579228826
19,0.025885889158656066,-0.025868369813954642,0.4109726709884427,25.625293541243177,-7.433384069000522,3.3251413342416605,0.1749202830324291,18.75783208012581
20,0.027287453322499503,-0.0272683198171124,0.4003066009363121,25.813341735441835,-7.497773279352246,3.3200218973851534,0.18501076846582976,19.803424773348702
21,0.02398652115866901,-0.023965565472821852,0.39466629898909367,26.02761768047198,-7.573649671882889,3.3066686648233152,0.19808491565745157,20.814837511181832
22,0.02238595250888462,-0.022363043347643993,0.38578028971518297,26.134436751356553,-7.60025329280649,3.3336768729371027,0.20839349095709014,21.887363760405115
23,0.024916491048763777,-0.02489089600474228,0.3777788156874936,26.321361879347105,-7.660984271943169,3.328211194415597,0.2189919516847423,22.95433286772834
24,0.022242041997516507,-0.02221339637902122,0.3638087478184615,26.478827987727044,-7.719888663967611,3.310204505945671,0.23521074765867325,24.028677120871013
25,0.022311743888856577,-0.02227975689816747,0.3488488882709869,26.74841465790734,-7.807193515704159,3.326834110794881,0.24625727302235925,25.1078257171313
26,0.020132871016219377,-0.020095606102314475,0.3342000742118026,26.980227966242207,-7.891624621594338,3.3053541014591548,0.26551329290779996,26.186797461708387
27,0.022764443951206626,-0.022720086634468156,0.31914493608665684,27.33022336574183,-8.011711256940938,3.295089594919015,0.2842557304623688,27.29039509634177
28,0.018596939937898543,-0.018545442464310367,0.30058390845630834,27.54200817194581,-8.073585858585849,3.3212505961882357,0.3009058116774786,28.40856321639485
29,0.020002912121894416,-0.01994183570013655,0.28773530443041145,27.823930583877235,-8.171824596774185,3.3084567935546514,0.3205320003878049,29.562615163591172
30,0.016965204274011596,-0.01689304928649475,0.2659386885668308,28.195579201374578,-8.291101055806935,3.3222760339537634,0.33949649641059254,30.7089540018638
31,0.0355462226162124,-0.035463544871767554,0.2516472440793015,28.48407698873951,-8.389637826961753,3.315163507854196,0.3542859845742435,31.85373716738489
32,0.015192334439639462,-0.015102286599758381,0.23655662402941866,28.625771390521045,-8.436404833836857,3.3165568890104717,0.3648360985843853,33.02623631020387
