SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,Rotatable Bonds
Cc1ccc2nc(N)sc2c1,Z57069881,164.041,164.228,2.322,-3.03,1,2,38.91,0
Nc1cc(F)ccc1C(=O)O,Z106939542,155.038,155.126,1.478,-1.63,2,3,63.32,1
NS(=O)(=O)c1cccc(F)c1,Z45415568,175.01,175.181,0.694,-1.62,1,2,60.16,1
O=c1[nH]c2cc(Cl)ccc2o1,Z57183224,168.993,169.565,1.871,-2.87,1,2,38.33,0
O=C(O)Cc1ccccc1O,Z608061328,152.047,152.147,0.697,-0.66,2,3,57.53,2
Cc1[nH]c2ccccc2c(=O)c1O,Z1255448123,175.063,175.184,0.314,-2.03,2,3,49.33,0
O=C(O)c1cccc2c1OCO2,Z553832512,166.027,166.131,1.972,-2.12,1,4,55.76,1
c1cc(N2CCNCC2)c2cc[nH]c2c1,Z1509140701,201.127,201.268,1.574,-2.254,2,2,31.06,1
COC(=O)c1ccc(O)cc1,Z19674820,152.047,152.147,1.985,-1.3,1,2,46.53,2
CCc1ccc(C(=O)O)cc1,Z104478474,150.068,150.175,2.913,-2.55,1,2,37.3,2
O=C(O)c1ccc2c(c1)CCO2,Z285150320,164.047,164.158,2.158,-1.88,1,3,46.53,1
Cc1ccccc1CCC(=O)O,Z317037960,164.084,164.201,2.352,-1.86,1,2,37.3,3
O=C(O)C1Cc2ccccc2C1,Z607808530,162.068,162.185,1.788,-1.69,1,2,37.3,1
CSc1ccc(O)c(C(=O)O)c1,Z1255431342,184.019,184.212,2.765,-1.92,2,3,57.53,2
COc1cccc(C(=O)O)c1OC,Z104476536,182.058,182.173,1.235,-1.58,1,4,55.76,3
O=C(O)c1cc2sccc2s1,Z666140572,183.965,184.235,2.934,-2.78,1,2,37.3,1
OCCn1cccn1,Z425794824,112.064,112.13,-0.435,0.66,1,2,38.05,2
CC1(C(=O)O)CCCC1,Z199537270,128.084,128.169,1.797,-1.44,1,2,37.3,1
Nc1n[nH]c2ccccc12,Z56820416,133.064,133.151,1.248,-2.32,2,2,54.7,0
